"Filename","SourcePath","TargetDomain","TargetPath","Hash","Migrated","Error"
"ts_type.schema.json","C:\eva-foundry\37-data-model\schema\ts_type.schema.json","domain_03_ai-runtime","c:\eva-foundry\37-data-model\schema\domain_03_ai-runtime\ts_type.schema.json","6E390D784EFA651CC5553A22D54990A435C990F91808F3E5907EED020DFE11C5","False",
"vulnerability_assessment.schema.json","C:\eva-foundry\37-data-model\schema\vulnerability_assessment.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\vulnerability_assessment.schema.json","711A298849E1BDF1DA27C135C023C91581392376836B3B7B0C21F43938876965","False",
"vulnerability_findings.schema.json","C:\eva-foundry\37-data-model\schema\vulnerability_findings.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\vulnerability_findings.schema.json","F62481F80B2AEDE6BBCB8608052529F2A081252C98236D403834D42F428AC5B0","False",
"vulnerability_scan_result.schema.json","C:\eva-foundry\37-data-model\schema\vulnerability_scan_result.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\vulnerability_scan_result.schema.json","9943ED85489889524F9A80182C1759E564A1222696BA92697B5E580CDC42F70F","False",
"wbs.schema.json","C:\eva-foundry\37-data-model\schema\wbs.schema.json","domain_05_project-pm","c:\eva-foundry\37-data-model\schema\domain_05_project-pm\wbs.schema.json","290988B6A32DD0501B4E5927F55C18A9B24D80275EFBDFA4248B2FCC9D598102","False",
"workspace_config.schema.json","C:\eva-foundry\37-data-model\schema\workspace_config.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\workspace_config.schema.json","6A064A995C106CD4AAF77B34000439A690DA4B154811C0BB404D37BCC669581F","False",
"work_approval_records.schema.json","C:\eva-foundry\37-data-model\schema\work_approval_records.schema.json","domain_07_execution-engine","c:\eva-foundry\37-data-model\schema\domain_07_execution-engine\work_approval_records.schema.json","F5AF9838A71802EFCA65FB753836A6E825DCEF6CB0DCA016198749B9267E21C3","False",
"work_cost_tracking.schema.json","C:\eva-foundry\37-data-model\schema\work_cost_tracking.schema.json","domain_07_execution-engine","c:\eva-foundry\37-data-model\schema\domain_07_execution-engine\work_cost_tracking.schema.json","073A96EC8C605533505BF36248E76574F0C7C42494D2D37F9976251FD12C23D7","False",
"work_decision_records.schema.json","C:\eva-foundry\37-data-model\schema\work_decision_records.schema.json","domain_05_project-pm","c:\eva-foundry\37-data-model\schema\domain_05_project-pm\work_decision_records.schema.json","D522D9E832E012ADCF59D523BF0A0D5DB6CE5E1A5969CBE93E8CF3E5EAE43B95","False",
"work_dependency_graph.schema.json","C:\eva-foundry\37-data-model\schema\work_dependency_graph.schema.json","domain_07_execution-engine","c:\eva-foundry\37-data-model\schema\domain_07_execution-engine\work_dependency_graph.schema.json","F73649281543B6F305D65B4D683ADB187F155C5A03D93FA32038EE2130103619","False",
"work_execution_units.schema.json","C:\eva-foundry\37-data-model\schema\work_execution_units.schema.json","domain_05_project-pm","c:\eva-foundry\37-data-model\schema\domain_05_project-pm\work_execution_units.schema.json","77C6BF6EBC70D4DAC7FF4C5074D81F3B6574AFE69AC08181C580B2C4506D499B","False",
"work_factory_capabilities.schema.json","C:\eva-foundry\37-data-model\schema\work_factory_capabilities.schema.json","domain_11_infrastructure-finops","c:\eva-foundry\37-data-model\schema\domain_11_infrastructure-finops\work_factory_capabilities.schema.json","D0D09309E08868BABF147D839DD1BC80A45A6CD45FC4E0573145EA0E2AC1F26B","False",
"work_factory_governance.schema.json","C:\eva-foundry\37-data-model\schema\work_factory_governance.schema.json","domain_11_infrastructure-finops","c:\eva-foundry\37-data-model\schema\domain_11_infrastructure-finops\work_factory_governance.schema.json","C0B731541800CAC6E0A9A60FCF4ECEE29ACA441CD9B8F6C90347F0CF5DFEF23A","False",
